clave,anio,url,archivo,status,bytes,error
2017-16,2017,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{0BCAC603-1950-00E8-E72A-0193AFDFCFB1}.pdf,2017-16.pdf,ok,943056,
2017-15,2017,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{E633510C-7916-0D76-8D1E-7FAA43BC4892}.pdf,2017-15.pdf,ok,1006050,
2017-14,2017,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{4B38F65A-1ECE-5DB9-681C-254EF3754A70}.pdf,2017-14.pdf,ok,1159953,
2017-10,2017,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{03A0F152-7EFC-1696-9A69-2CC086D15C7F}.pdf,2017-10.pdf,ok,1241577,
2017-02,2017,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{09E05D6A-D1AD-840D-04AE-6636A4CC8E08}.pdf,2017-02.pdf,ok,405854,
2016-21,2016,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{D85301B7-21C7-AFB5-4FFF-2FAE731F8CDC}.pdf,2016-21.pdf,ok,600919,
2016-20,2016,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{CABFA189-8145-6E3B-88BF-6EFF80CE6C59}.pdf,2016-20.pdf,ok,699354,
2016-14,2016,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{162C7AD1-F4E2-4DD2-109E-3AA7E84D59F1}.pdf,2016-14.pdf,ok,1879803,
2016-13,2016,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{D03AD593-5FDF-AB9D-A240-D30918611135}.pdf,2016-13.pdf,ok,491363,
2016-04,2016,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{91C9313C-8C79-6CA3-7D00-74CF296192CD}.pdf,2016-04.pdf,ok,4305842,
2015-22,2015,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{044287BF-117E-9474-39E6-5447148B7044}.pdf,2015-22.pdf,ok,528932,
